scenario,regime,peak_queue,mean_wait_min,p90_wait_min,corridor_delay_index,waiting_proxy,storage_pressure,deferred
S0,high,676.2021063678858,339.8678452275276,477.12143152350916,281.7253054246627,3626.5630044551062,0.3942331444461933,0.0
S0,low,170.62481743368318,65.69550195416038,145.38899386504986,2.5346782323027397,1524.0724365809717,0.33430331532546936,0.0
S0,normal,330.1266151585686,147.89454494712777,240.98469139350405,15.186685818961354,2650.756649858261,0.3721470439169211,0.0
S1,high,388.68369051600484,202.75479546512827,295.7146955978701,37.01378678403773,3086.623993739029,0.40527976551730616,0.0
S1,low,0.0,41.704669225294424,50.521492072551816,1.040929293362967,999.4350771974555,0.3232992132434097,0.0
S1,normal,32.264647181190185,58.03713971186688,73.58672480521076,1.1621848631685308,1734.4879820012616,0.37847839056940846,0.0
S2,high,387.75601012690345,201.18980234335643,293.6825301025567,35.73600593394029,3071.193612176435,0.4053736182678048,0.0
S2,low,0.0,41.74213767496667,50.46741222889798,1.040656942254925,1001.9623382694328,0.32274116925609686,0.0
S2,normal,28.80524680268833,57.59639211756783,73.32392136911216,1.1583571363205585,1725.7173329823522,0.3783392680947107,0.0
S3,high,384.9860523000872,198.88300178828598,284.57125603308015,32.50104052184234,3052.095670923565,0.40423439514501314,0.0
S3,low,0.0,41.71502195655062,49.74099749042717,1.0390847614626686,997.3486490314029,0.3220483565617016,0.0
S3,normal,31.06987576246631,57.900535980115215,73.70415474943556,1.1580254633380553,1709.8669456024154,0.3777326733693293,0.0
S3s,high,362.94706619921703,188.50570008396008,267.2691558279912,25.684605478648677,3060.5288803946305,0.40435171338864784,0.0
S3s,low,0.0,41.688628421944884,49.32590439213446,1.0395097299083438,993.5807102247118,0.32140612397263413,0.0
S3s,normal,27.41728956445519,57.57867754966051,71.88084060277475,1.148206792017667,1703.104596274716,0.3777223087853382,0.0
S_OPT,high,418.0947770481724,299.32699250696663,332.49671626905626,101.61167159864888,3611.7441226400633,0.40592163667793235,0.0
S_OPT,low,0.0,41.64269240254039,48.75702174943463,1.0385495909540623,991.6805085691337,0.3230351751985606,0.0
S_OPT,normal,27.74020426861955,57.44111285472606,72.06967009554074,1.1470200207612558,1688.6447833283228,0.3791012996168055,0.0
