tilt,scenario,median_rel_improvement_peak_queue
0.0,S1,0.7759521831773828
0.0,S2,0.7872122560121868
0.0,S3,0.8037800711522475
0.1,S1,0.7759521831773828
0.1,S2,0.7860303140615164
0.1,S3,0.7947091601283458
0.2,S1,0.7759521831773828
0.2,S2,0.783463211554048
0.2,S3,0.8025303896662013
0.4,S1,0.7759521831773828
0.4,S2,0.7779143913656725
0.4,S3,0.7998867539356577
