scenario,metric,median,p10,p90,mean
S0,peak_queue,338.6262940595841,0.0,1333.818544080126,516.1971757489449
S0,mean_wait_min,156.6137186341946,20.20436384890992,619.1351950407194,247.88161593120608
S0,p90_wait_min,250.37494116867407,43.62179644551012,914.3183354309701,377.58642694206566
S0,corridor_delay_index,17.54015785309258,1.0153863230382747,3471.467632717167,1371.566724581675
S0,waiting_proxy,2688.4657193401663,428.1502576878587,5011.563955322116,2617.55760570675
S0,storage_pressure,0.37082567330081184,0.21157866587523042,0.498383533096461,0.36301230469887225
S0,deferred,0.0,0.0,0.0,0.0
S1,peak_queue,35.68280274255691,0.0,1076.7162220736168,321.03961658504267
S1,mean_wait_min,59.986999748156485,20.097547885345534,463.8691463437918,166.7715341830897
S1,p90_wait_min,77.41670158040371,24.87333244069423,735.3315377443281,251.15285643329625
S1,corridor_delay_index,1.1913301048872924,1.0023682475008913,1245.2851930978504,566.5425259684253
S1,waiting_proxy,1761.4090235550843,329.98716160378154,4382.768574301208,2122.769570506111
S1,storage_pressure,0.37848526112242287,0.20161589155515608,0.5242452995483621,0.3692338702943799
S1,deferred,0.0,0.0,0.0,0.0
S2,peak_queue,34.299618941863585,0.0,1076.7162220736168,321.19163394824545
S2,mean_wait_min,59.974348358007404,20.097547885345534,466.3657348423728,166.80781976012372
S2,p90_wait_min,76.03339269914099,24.82909409515444,739.8819919600594,251.49815160660705
S2,corridor_delay_index,1.1868908732946657,1.0023785035041843,1261.8878625465686,567.4791071772461
S2,waiting_proxy,1761.3282518287053,328.2886171053993,4386.746504258349,2122.166301619615
S2,storage_pressure,0.3788985303971987,0.20119978032252658,0.5239306679617952,0.36920659735750566
S2,deferred,0.0,0.0,0.0,0.0
S3,peak_queue,34.32791949873021,0.0,1076.7162220736168,319.48805268083373
S3,mean_wait_min,59.776960130284024,20.097547885345534,456.5223837098534,164.24512434959863
S3,p90_wait_min,76.58342596571313,24.768693956880895,717.0573831013311,244.44235602550958
S3,corridor_delay_index,1.1830648638155346,1.0023586049856346,1153.6884744496547,530.830439861251
S3,waiting_proxy,1734.5240387749116,328.779824979225,4358.384506625043,2106.9109869256317
S3,storage_pressure,0.37755449561036303,0.19977402967952532,0.5234062688660317,0.3683105793503151
S3,deferred,0.0,0.0,0.0,0.0
S3s,peak_queue,34.48908478285694,0.0,1027.9361522938364,304.74628728567205
S3s,mean_wait_min,59.514347595710305,20.097547885345534,439.49719814558057,159.82428526467677
S3s,p90_wait_min,75.12118206415549,24.87359010771985,689.1473100362671,236.59888766987402
S3s,corridor_delay_index,1.1802295425365403,1.0023768587114932,968.7703966989319,467.88399980665736
S3s,waiting_proxy,1740.0868646700549,329.5536185522877,4270.682757768228,2082.8080734023274
S3s,storage_pressure,0.37728596087585925,0.20046982048862008,0.5236185169698523,0.36825144076188554
S3s,deferred,0.0,0.0,0.0,14.97654924953567
S_OPT,peak_queue,32.262875510539686,0.0,1109.907908562132,338.77979745879367
S_OPT,mean_wait_min,59.06792584623142,20.097547885345534,726.5342437879627,245.2712718664211
S_OPT,p90_wait_min,75.00042737065388,23.41236197531739,789.2581073550698,271.20966366712014
S_OPT,corridor_delay_index,1.1680544628846379,1.0021230537991246,3362.87478376578,1576.5624516218336
S_OPT,waiting_proxy,1718.5162581445013,326.33977261872457,5777.676699156251,2521.056306337104
S_OPT,storage_pressure,0.3790587262553923,0.2020756311857921,0.5250406036519266,0.3697652214787814
S_OPT,deferred,0.0,0.0,0.0,0.0
