weights,median_S1_improvement_vs_S0,median_S0_peak,median_S1_peak
0.5/0.5,0.827875177119785,310.5842389213218,28.444576685282122
0.6/0.4,0.8049461865219284,332.64261228075065,37.194541678000355
0.7/0.3,0.7162181151542882,400.91692566841766,79.77024066623498
