Scenario,Median peak queue,p10 peak,p90 peak,Median p90 wait,Median waiting proxy,Median BPR delay
S0,338.6262940595841,0.0,1333.818544080126,250.3749411686741,2688.4657193401663,17.54015785309258
S1,35.68280274255691,0.0,1076.7162220736168,77.41670158040371,1761.4090235550843,1.1913301048872924
S2,34.299618941863585,0.0,1076.7162220736168,76.03339269914099,1761.3282518287056,1.1868908732946657
S3,34.32791949873021,0.0,1076.7162220736168,76.58342596571313,1734.5240387749118,1.1830648638155346
S3s,34.48908478285694,0.0,1027.9361522938364,75.12118206415549,1740.0868646700549,1.1802295425365403
S_OPT,32.262875510539686,0.0,1109.907908562132,75.00042737065388,1718.5162581445013,1.1680544628846379
