param,value,scenario,median_rel_improvement_peak_queue,median_peak,median_storage_pressure,mean_deferred
theta,0.35,S1,0.8109666821769996,48.16894493580799,,
theta,0.35,S3,0.8297626714795707,47.67701773298434,,
theta,0.5,S1,0.8109666821769996,48.16894493580799,,
theta,0.5,S3,0.8297626714795707,47.67701773298434,,
theta,0.65,S1,0.8109666821769996,48.16894493580799,,
theta,0.65,S3,0.8297626714795707,47.67701773298434,,
delta_clear,0.15,S3s,,36.523409102340835,0.5501761118748077,125.45511354418866
delta_clear,0.25,S3s,,38.40322245654042,0.3785479437703348,14.53651975244121
delta_clear,0.4,S3s,,38.40322245654042,0.24860182673532222,0.6718191223724672
