scenario,median_peak_S1,median_peak_S2,median_peak_S3,median_proxy_S1,median_proxy_S2,median_proxy_S3
S0,338.6262940595841,74.93620790518375,0.0,2688.4657193401663,1518.069405383499,1120.8870921246396
S1,35.68280274255691,0.0,0.0,1761.4090235550843,1062.744668658898,869.93499288112
S2,34.299618941863585,0.0,0.0,1761.328251828705,1064.000491686174,870.6327537406864
S3,34.32791949873021,0.0,0.0,1734.5240387749116,1062.0328618316305,869.2894050158707
S3s,34.48908478285694,0.0,0.0,1740.0868646700549,1062.2508221490166,869.8599332116463
S_OPT,32.262875510539686,0.0,0.0,1718.5162581445013,1058.1103823505305,867.1187164255821
