Intensity regime,Median peak queue,Median mean wait (min),Median waiting proxy
high,676.2021063678858,339.8678452275276,3626.563004455106
low,170.62481743368318,65.69550195416038,1524.0724365809715
normal,330.1266151585686,147.89454494712777,2650.756649858261
